"proposed_use","status_date","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","lot","filed_date","issued_date","plansets","block","application_submission_method","point_source","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","adu","estimated_cost","street_number","existing_use","location","status"
"2 family dwelling","2023-09-01T19:34:04.000","202309015857","R-3","2023-09-02T04:14:29.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","16000","Chenery","8","St","006","2023-09-01T19:31:17.000","2023-09-01T19:34:04.000","0","6727","website","parcel_centroid","2023-09-01T23:55:00.000","Glen Park","R-3","otc alterations permit","2023-09-01T19:31:17.000","8","2023-09-01T19:31:17.000","94131","1677488211425","N","16000","516","2 family dwelling","{""coordinates"":[-122.430812929,37.735457635],""type"":""Point""}","issued"
"2 family dwelling","2023-09-01T15:36:02.000","202309015855","R-3","2023-09-02T04:14:29.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","9500","Flood","7","Av","013","2023-09-01T15:35:26.000","2023-09-01T15:36:02.000","0","3120","website","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T15:35:26.000","8","2023-09-01T15:35:26.000","94112","1677486152915","N","9500","230","2 family dwelling","{""coordinates"":[-122.445046453,37.730145103],""type"":""Point""}","issued"
"2 family dwelling","2023-09-01T15:33:34.000","202309015854","R-3","2023-09-02T04:14:29.000","re-roofing: remove and replace roofing material / existing roofing material (in-kind)","Y","10800","18th","7","Av","013","2023-09-01T15:32:08.000","2023-09-01T15:33:34.000","0","2055","website","parcel_centroid","2023-09-01T23:55:00.000","Inner Sunset","R-3","otc alterations permit","2023-09-01T15:32:08.000","8","2023-09-01T15:32:08.000","94122","1677485123672","N","10800","1859","2 family dwelling","{""coordinates"":[-122.475657362,37.753169868],""type"":""Point""}","issued"
"apartments","2023-09-01T13:58:47.000","202309015831","R-2","2023-09-02T04:14:29.000","reroofing","Y","22300","Sutter","5","St","035","2023-09-01T12:48:35.000","2023-09-01T13:58:47.000","0","0681","in-house","parcel_centroid","2023-09-01T23:55:00.000","Japantown","R-2","otc alterations permit","2023-09-01T13:48:35.000","8","2023-09-01T12:48:35.000","94115","167746578783","N","22300","2275","apartments","{""coordinates"":[-122.437693796,37.785276805],""type"":""Point""}","issued"
"apartments","2023-09-01T12:05:59.000","202309015823","R-2","2023-09-02T04:14:29.000","upgrade existing fire alarm system to comply with sffc section 1103.7.6.1","Y","0","Masonic","8","Av","079","2023-09-01T12:05:59.000","","2","1270","in-house","parcel_centroid","2023-09-01T23:55:00.000","Haight Ashbury","R-2","otc alterations permit","2023-09-01T12:05:02.000","8","2023-09-01T12:05:59.000","94117","1677455241452","N","22500","1421","apartments","{""coordinates"":[-122.444912641,37.76694402],""type"":""Point""}","filed"
"apartments","2023-09-01T12:05:58.000","202309015821","R-2","2023-09-02T04:14:29.000","upgrade existing fire alarm system to comply with sffc section 1103.7.6.1","Y","0","Judah","4","St","033","2023-09-01T12:05:58.000","","2","1821","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-2","otc alterations permit","2023-09-01T15:54:47.000","8","2023-09-01T12:05:58.000","94122","1677451115823","N","18000","2747","apartments","{""coordinates"":[-122.491703578,37.760804921],""type"":""Point""}","filed"
"apartments","2023-09-01T12:05:58.000","202309015821","R-2","2023-09-02T04:14:29.000","upgrade existing fire alarm system to comply with sffc section 1103.7.6.1","","0","Judah","4","St","033","2023-09-01T12:05:58.000","","2","1821","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-2","otc alterations permit","2023-09-01T15:54:47.000","8","2023-09-01T12:05:58.000","94122","1677452386396","N","18000","2749","apartments","{""coordinates"":[-122.491703578,37.760804921],""type"":""Point""}","filed"
"apartments","2023-09-01T12:05:58.000","202309015822","R-2","2023-09-02T04:14:29.000","upgrade existing fire alarm system to comply with sffc section 1103.7.6.1","Y","0","Clement","1","St","020","2023-09-01T12:05:58.000","","2","1407","in-house","parcel_centroid","2023-09-01T23:55:00.000","Outer Richmond","R-2","otc alterations permit","2023-09-01T12:05:02.000","8","2023-09-01T12:05:58.000","94121","1677454242105","N","20600","2518","apartments","{""coordinates"":[-122.486437712,37.782220604],""type"":""Point""}","filed"
"apartments","2023-09-01T12:05:58.000","202309015821","R-2","2023-09-02T04:14:29.000","upgrade existing fire alarm system to comply with sffc section 1103.7.6.1","","0","Judah","4","St","033","2023-09-01T12:05:58.000","","2","1821","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-2","otc alterations permit","2023-09-01T15:54:47.000","8","2023-09-01T12:05:58.000","94122","1677453508053","N","18000","2751","apartments","{""coordinates"":[-122.491703578,37.760804921],""type"":""Point""}","filed"
"apartments","2023-09-01T12:26:21.000","202309015817","R-2","2023-09-02T04:14:29.000","replace (e) wood siding with fiber cement. back left side of building. includes tear off 800 sqft, 40 lft.","Y","38000","Dolores","8","St","016","2023-09-01T11:54:17.000","2023-09-01T12:26:21.000","0","3619","in-house","parcel_centroid","2023-09-01T23:55:00.000","Noe Valley","R-2","otc alterations permit","2023-09-01T12:23:39.000","8","2023-09-01T11:54:17.000","94114","1677445248576","N","38000","878","apartments","{""coordinates"":[-122.425922059,37.755415003],""type"":""Point""}","issued"
